episode_id,original_sequence,corrupted_sequence,is_corrupted,corruption_level
ep_0,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e14"", ""e1"", ""e1"", ""e8"", ""e2"", ""e17""]",True,medium
ep_1,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_2,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_3,"[""e1"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e1"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_4,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_5,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_6,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_7,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_8,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_9,"[""e1"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e1"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_10,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e18"", ""e2"", ""e8"", ""e6"", ""e9"", ""e6"", ""e9""]",True,medium
ep_11,"[""e1"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e1"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_12,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_13,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_14,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_15,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_16,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_17,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_18,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e15"", ""e2"", ""e1"", ""e5"", ""e5"", ""e9""]",True,medium
ep_19,"[""e1"", ""e8"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e1"", ""e8"", ""e2"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_20,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_21,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_22,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e9"", ""e5"", ""e6"", ""e2"", ""e1""]",True,medium
ep_23,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_24,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_25,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
ep_26,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_27,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]",False,none
ep_28,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9"", ""e13""]",True,medium
ep_29,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]",False,none
ep_30,"[""e2"", ""e5"", ""e1"", ""e6"", ""e9""]","[""e2"", ""e5"", ""e1"", ""e1"", ""e9"", ""e1""]",True,medium
ep_31,"[""e2"", ""e1"", ""e5"", ""e6"", ""e9""]","[""e17"", ""e5"", ""e6"", ""e1"", ""e1"", ""e6"", ""e9""]",True,medium
ep_32,"[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]","[""e2"", ""e1"", ""e8"", ""e5"", ""e6"", ""e9""]",False,none
