episode_id,sequence
ep_0,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_1,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_2,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_3,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_4,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_5,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_6,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_7,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_8,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_9,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_10,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_11,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_12,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_13,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_14,"['e1', 'e2', 'e5', 'e11', 'e12']"
ep_15,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_16,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_17,"['e1', 'e8', 'e2', 'e8', 'e5', 'e11', 'e12']"
ep_18,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_19,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_20,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_21,"['e2', 'e1', 'e5', 'e8', 'e6', 'e9']"
ep_22,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_23,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_24,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_25,"['e1', 'e8', 'e2', 'e8', 'e5', 'e11', 'e12']"
ep_26,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_27,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_28,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_29,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_30,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_31,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_32,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_33,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_34,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_35,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_36,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_37,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_38,"['e1', 'e2', 'e8', 'e5', 'e6', 'e9']"
ep_39,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_40,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_41,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_42,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_43,"['e2', 'e5', 'e1', 'e6', 'e9']"
ep_44,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_45,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_46,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_47,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_48,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_49,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_50,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_51,"['e1', 'e8', 'e2', 'e8', 'e5', 'e11', 'e12']"
ep_52,"['e1', 'e8', 'e2', 'e5', 'e6', 'e9']"
ep_53,"['e2', 'e1', 'e5', 'e6', 'e9']"
ep_54,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_55,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_56,"['e2', 'e1', 'e8', 'e5', 'e6', 'e9']"
ep_57,"['e2', 'e5', 'e3', 'e11', 'e12']"
ep_58,"['e1', 'e2', 'e5', 'e6', 'e9']"
